Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,City,Furnishing Status
2022-06-30,40000,3,3,1900,3,Carpet Area,Bangalore,Unfurnished
2022-07-06,50000,3,3,1250,3,Carpet Area,Bangalore,Semi-Furnished
2022-07-07,20000,3,2,1252,3,Carpet Area,Bangalore,Semi-Furnished
2022-05-23,22500,3,3,1600,2,Carpet Area,Bangalore,Semi-Furnished
2022-05-27,45000,3,3,2200,2,Carpet Area,Bangalore,Semi-Furnished
2022-07-08,22000,3,2,1100,2,Carpet Area,Bangalore,Semi-Furnished
2022-06-04,18000,3,3,1100,11,Carpet Area,Bangalore,Semi-Furnished
2022-06-04,12000,3,3,1100,6,Super Area,Bangalore,Semi-Furnished
2022-07-04,21500,3,2,1320,3,Super Area,Bangalore,Semi-Furnished
2022-05-19,35000,3,2,1278,3,Super Area,Bangalore,Semi-Furnished
2022-07-04,22000,3,3,1500,2,Super Area,Bangalore,Semi-Furnished
2022-06-27,26969,3,3,1400,4,Super Area,Bangalore,Semi-Furnished
2022-05-19,30000,4,3,1900,3,Super Area,Bangalore,Unfurnished
2022-05-05,30000,3,3,1350,14,Super Area,Bangalore,Furnished
2022-07-02,22000,3,2,1500,2,Carpet Area,Bangalore,Furnished
2022-06-04,27000,3,2,1200,2,Super Area,Bangalore,Unfurnished
2022-07-06,43000,3,3,1680,4,Carpet Area,Bangalore,Unfurnished
2022-06-24,25000,3,3,1600,3,Carpet Area,Bangalore,Semi-Furnished
2022-05-12,17000,3,3,1200,2,Super Area,Bangalore,Unfurnished
2022-05-14,17681,3,2,1110,3,Super Area,Bangalore,Semi-Furnished
2022-05-23,28000,3,3,2400,3,Super Area,Bangalore,Semi-Furnished
2022-07-06,30000,3,3,1700,19,Carpet Area,Bangalore,Semi-Furnished
2022-07-09,35000,3,2,1300,3,Carpet Area,Bangalore,Semi-Furnished
2022-06-20,30000,3,3,1250,15,Carpet Area,Bangalore,Semi-Furnished
2022-06-16,13500,3,3,1100,3,Super Area,Bangalore,Unfurnished
2022-06-27,32000,3,3,1768,8,Super Area,Bangalore,Semi-Furnished
2022-06-20,42000,3,3,1600,3,Carpet Area,Bangalore,Semi-Furnished
2022-05-27,30000,3,3,1500,4,Carpet Area,Bangalore,Semi-Furnished
2022-06-08,20000,3,3,1465,2,Super Area,Bangalore,Semi-Furnished
2022-06-16,24000,3,2,1430,2,Super Area,Bangalore,Semi-Furnished
2022-06-23,15000,3,2,1200,2,Carpet Area,Bangalore,Semi-Furnished
2022-06-20,34000,3,3,1500,14,Carpet Area,Bangalore,Semi-Furnished
2022-07-03,28000,3,3,1800,18,Carpet Area,Bangalore,Semi-Furnished
2022-06-27,32000,3,3,1789,8,Super Area,Bangalore,Semi-Furnished
2022-05-19,30000,3,3,1300,2,Carpet Area,Bangalore,Semi-Furnished
2022-05-25,48000,3,3,1286,8,Carpet Area,Bangalore,Semi-Furnished
2022-06-23,40000,3,3,1618,2,Super Area,Bangalore,Semi-Furnished
2022-05-30,28000,3,3,1600,2,Super Area,Bangalore,Semi-Furnished
2022-05-21,50000,3,3,1580,3,Carpet Area,Bangalore,Unfurnished
2022-04-27,30000,3,2,1875,3,Super Area,Bangalore,Semi-Furnished
2022-05-05,21000,3,2,1300,3,Super Area,Bangalore,Furnished
2022-06-10,35000,3,3,1700,10,Carpet Area,Bangalore,Semi-Furnished
2022-05-16,30000,3,2,2000,3,Carpet Area,Bangalore,Furnished
2022-06-12,22000,3,3,1200,4,Carpet Area,Bangalore,Semi-Furnished
2022-07-04,26000,3,2,1350,2,Carpet Area,Bangalore,Semi-Furnished
2022-05-05,42000,3,2,1880,14,Super Area,Bangalore,Semi-Furnished
2022-05-05,22000,3,2,1200,2,Super Area,Bangalore,Furnished
2022-07-04,18000,3,2,1600,2,Super Area,Bangalore,Semi-Furnished
2022-05-05,24000,3,3,1400,2,Super Area,Bangalore,Semi-Furnished
2022-07-06,35000,3,3,1460,6,Carpet Area,Bangalore,Unfurnished
2022-05-23,24000,3,3,1464,2,Carpet Area,Bangalore,Semi-Furnished
2022-06-08,14000,3,3,600,2,Carpet Area,Delhi,Unfurnished
2022-05-31,50000,3,3,1670,3,Super Area,Delhi,Semi-Furnished
2022-06-08,35000,3,2,170,4,Carpet Area,Delhi,Unfurnished
2022-06-21,50000,3,3,1250,2,Carpet Area,Delhi,Semi-Furnished
2022-07-05,35000,3,3,1300,3,Carpet Area,Delhi,Semi-Furnished
2022-06-02,25000,3,2,450,2,Carpet Area,Delhi,Semi-Furnished
2022-06-12,36000,3,2,892,2,Carpet Area,Delhi,Unfurnished
2022-06-16,36000,3,3,1500,2,Carpet Area,Delhi,Semi-Furnished
2022-05-27,17000,3,2,800,2,Carpet Area,Delhi,Unfurnished
2022-05-14,15000,3,2,800,2,Carpet Area,Delhi,Unfurnished
2022-04-29,15000,3,2,900,3,Super Area,Delhi,Unfurnished
2022-06-18,12000,3,2,950,3,Carpet Area,Delhi,Semi-Furnished
2022-05-14,32000,3,2,1100,4,Super Area,Delhi,Semi-Furnished
2022-06-20,30000,3,2,2000,7,Super Area,Delhi,Semi-Furnished
2022-06-18,40000,4,3,2400,4,Super Area,Delhi,Unfurnished
2022-06-18,35000,3,3,2200,2,Super Area,Delhi,Unfurnished
2022-06-18,31000,3,2,900,3,Carpet Area,Delhi,Semi-Furnished
2022-06-18,32000,3,3,1800,3,Carpet Area,Delhi,Semi-Furnished
2022-06-18,30000,3,3,160,2,Carpet Area,Delhi,Semi-Furnished
2022-07-04,42000,4,4,2700,2,Carpet Area,Delhi,Semi-Furnished
2022-05-23,20500,3,2,1050,3,Carpet Area,Delhi,Furnished
2022-06-08,17401,4,2,650,4,Super Area,Delhi,Furnished
2022-06-18,27000,3,3,1800,2,Carpet Area,Delhi,Semi-Furnished
2022-06-18,29000,3,3,1800,2,Carpet Area,Delhi,Semi-Furnished
2022-05-26,37000,4,4,2700,2,Carpet Area,Delhi,Semi-Furnished
2022-07-04,36000,4,3,2700,2,Carpet Area,Delhi,Semi-Furnished
2022-05-26,35000,3,3,1800,4,Carpet Area,Delhi,Semi-Furnished
2022-05-26,42000,4,4,2700,2,Carpet Area,Delhi,Semi-Furnished
2022-07-04,30000,3,3,1800,2,Carpet Area,Delhi,Semi-Furnished
2022-05-08,20000,3,2,1200,2,Super Area,Delhi,Semi-Furnished
2022-05-23,20500,3,2,1150,3,Carpet Area,Delhi,Unfurnished
2022-05-31,28000,4,2,1400,2,Carpet Area,Delhi,Semi-Furnished
2022-06-18,35000,4,3,300,2,Carpet Area,Delhi,Semi-Furnished
2022-06-18,30000,3,3,1800,2,Carpet Area,Delhi,Semi-Furnished
2022-06-20,30000,3,2,1600,6,Super Area,Delhi,Unfurnished
2022-06-07,30000,4,4,1800,6,Super Area,Delhi,Semi-Furnished
2022-05-23,25000,3,2,1120,2,Super Area,Delhi,Unfurnished
2022-05-27,50000,3,2,1600,2,Carpet Area,Delhi,Semi-Furnished
2022-04-29,18000,4,2,900,3,Super Area,Delhi,Unfurnished
2022-06-08,38000,3,2,165,2,Carpet Area,Delhi,Semi-Furnished
2022-05-21,22000,3,2,1250,2,Super Area,Delhi,Semi-Furnished
2022-05-14,25000,3,3,1500,5,Carpet Area,Delhi,Semi-Furnished
2022-07-04,30000,3,2,1100,3,Carpet Area,Delhi,Semi-Furnished
2022-07-06,30000,3,3,900,3,Carpet Area,Delhi,Semi-Furnished
2022-06-24,31500,3,2,1800,2,Carpet Area,Delhi,Semi-Furnished
2022-06-04,35000,3,2,1200,3,Carpet Area,Delhi,Semi-Furnished
2022-05-18,24000,3,2,1250,2,Carpet Area,Delhi,Unfurnished
2022-05-23,28000,3,2,1000,2,Super Area,Delhi,Semi-Furnished
2022-07-01,28000,3,2,900,2,Carpet Area,Delhi,Unfurnished
2022-05-18,27000,3,3,1250,3,Carpet Area,Delhi,Unfurnished
2022-05-18,16500,3,2,1250,2,Carpet Area,Delhi,Unfurnished
2022-05-18,25000,3,3,1400,3,Carpet Area,Delhi,Unfurnished
2022-05-31,28000,4,2,1500,2,Carpet Area,Delhi,Semi-Furnished
2022-06-05,33500,3,2,150,2,Carpet Area,Delhi,Semi-Furnished
2022-05-18,23000,3,2,1250,2,Carpet Area,Delhi,Unfurnished
2022-05-18,30000,4,4,1950,2,Carpet Area,Delhi,Semi-Furnished
2022-07-05,42000,3,3,1700,2,Carpet Area,Delhi,Semi-Furnished
2022-07-05,44000,3,3,1700,3,Carpet Area,Delhi,Semi-Furnished
2022-07-05,40000,3,3,1350,2,Carpet Area,Delhi,Semi-Furnished
2022-05-18,24000,3,2,1250,2,Carpet Area,Delhi,Unfurnished
2022-06-15,30000,3,2,1000,3,Carpet Area,Delhi,Unfurnished
2022-05-27,30000,3,2,1205,2,Super Area,Delhi,Furnished
2022-06-12,42000,3,2,1450,2,Carpet Area,Delhi,Semi-Furnished
2022-06-01,27000,3,2,1200,10,Super Area,Delhi,Semi-Furnished
2022-07-09,25000,3,2,1200,2,Carpet Area,Delhi,Semi-Furnished
2022-05-27,45000,3,3,2000,3,Super Area,Delhi,Unfurnished
2022-05-27,24000,3,2,1300,3,Super Area,Delhi,Semi-Furnished
2022-06-19,20000,3,3,1710,15,Super Area,Chennai,Semi-Furnished
2022-06-27,22000,4,4,2117,20,Carpet Area,Chennai,Semi-Furnished
2022-07-05,45000,3,3,1800,2,Carpet Area,Chennai,Unfurnished
2022-05-29,35000,3,2,1550,3,Carpet Area,Chennai,Semi-Furnished
2022-07-10,34999,3,3,1462,3,Carpet Area,Chennai,Semi-Furnished
2022-05-18,35000,3,2,1540,3,Carpet Area,Chennai,Furnished
2022-06-29,40000,3,3,1800,3,Carpet Area,Chennai,Unfurnished
2022-05-25,30000,3,3,1500,3,Super Area,Chennai,Semi-Furnished
2022-07-07,36000,3,3,1500,2,Super Area,Chennai,Semi-Furnished
2022-05-04,27000,3,3,1650,2,Carpet Area,Chennai,Semi-Furnished
2022-07-06,34000,3,3,2120,9,Super Area,Chennai,Furnished
2022-06-22,12000,3,2,930,2,Super Area,Chennai,Semi-Furnished
2022-06-25,26000,3,2,1100,4,Carpet Area,Chennai,Semi-Furnished
2022-05-12,15000,3,2,1250,2,Super Area,Chennai,Semi-Furnished
2022-07-05,50000,3,3,1600,2,Carpet Area,Chennai,Semi-Furnished
2022-05-06,17000,3,2,1480,3,Super Area,Chennai,Furnished
2022-07-10,49000,3,3,1700,7,Carpet Area,Chennai,Furnished
2022-06-23,25000,3,2,1425,2,Carpet Area,Chennai,Semi-Furnished
2022-06-04,8500,3,3,1261,3,Carpet Area,Chennai,Semi-Furnished
2022-07-06,20000,4,4,1900,5,Carpet Area,Chennai,Semi-Furnished
2022-06-27,16000,3,2,1158,2,Carpet Area,Chennai,Semi-Furnished
2022-05-15,17000,3,2,1400,10,Super Area,Chennai,Semi-Furnished
2022-07-06,25000,3,2,1100,5,Carpet Area,Chennai,Unfurnished
2022-06-17,20000,3,3,1400,12,Carpet Area,Chennai,Semi-Furnished
2022-06-09,38000,3,3,2100,2,Super Area,Chennai,Semi-Furnished
2022-07-08,25000,3,4,2064,11,Super Area,Chennai,Semi-Furnished
2022-07-08,14000,3,2,950,3,Carpet Area,Chennai,Semi-Furnished
2022-07-10,24000,3,3,1200,2,Carpet Area,Chennai,Unfurnished
2022-07-08,28000,3,2,917,3,Carpet Area,Chennai,Semi-Furnished
2022-06-17,25000,3,3,1700,2,Carpet Area,Chennai,Semi-Furnished
2022-07-06,47500,3,3,1920,6,Super Area,Chennai,Semi-Furnished
2022-07-06,46000,3,3,1700,15,Super Area,Chennai,Semi-Furnished
2022-06-25,13500,3,2,1002,2,Super Area,Chennai,Furnished
2022-07-06,29000,3,3,1225,9,Carpet Area,Chennai,Semi-Furnished
2022-06-22,26000,3,3,1567,3,Carpet Area,Chennai,Furnished
2022-05-25,20000,4,4,1450,3,Super Area,Chennai,Semi-Furnished
2022-05-10,20000,3,2,1175,3,Carpet Area,Chennai,Furnished
2022-06-20,23000,3,2,1060,2,Carpet Area,Chennai,Unfurnished
2022-07-10,33000,3,3,1600,15,Carpet Area,Chennai,Semi-Furnished
2022-06-06,33000,3,3,1760,8,Super Area,Chennai,Semi-Furnished
2022-07-06,18000,3,2,1220,6,Super Area,Chennai,Semi-Furnished
2022-06-18,20000,3,3,1651,2,Super Area,Chennai,Semi-Furnished
2022-06-10,15723,3,2,1246,7,Super Area,Chennai,Semi-Furnished
2022-06-01,16500,3,3,1530,9,Carpet Area,Chennai,Semi-Furnished
2022-06-18,35000,3,3,2000,2,Super Area,Chennai,Semi-Furnished
2022-07-02,15000,3,2,1095,2,Super Area,Chennai,Furnished
2022-07-10,38000,3,3,1300,9,Carpet Area,Chennai,Unfurnished
2022-05-20,15000,3,3,1402,2,Carpet Area,Chennai,Semi-Furnished
2022-06-23,30000,3,3,1300,19,Super Area,Chennai,Furnished
2022-07-10,30000,3,3,1484,9,Carpet Area,Chennai,Semi-Furnished
2022-06-10,45000,3,3,2200,4,Super Area,Chennai,Unfurnished
2022-06-07,16000,3,3,1525,6,Carpet Area,Chennai,Semi-Furnished
2022-06-21,22000,3,3,1450,8,Carpet Area,Chennai,Furnished
2022-06-15,45000,3,3,1600,4,Carpet Area,Chennai,Unfurnished
2022-06-11,25000,3,2,1132,10,Super Area,Chennai,Semi-Furnished
2022-05-06,17000,3,3,1400,28,Carpet Area,Chennai,Semi-Furnished
2022-05-13,22000,3,3,1400,3,Carpet Area,Chennai,Semi-Furnished
2022-06-29,40000,3,3,1500,2,Super Area,Chennai,Semi-Furnished
2022-06-29,25000,3,3,1440,3,Carpet Area,Chennai,Semi-Furnished
2022-06-13,17000,3,3,1785,9,Super Area,Chennai,Semi-Furnished
2022-05-25,34000,3,2,1503,3,Carpet Area,Chennai,Semi-Furnished
2022-06-27,23000,3,2,900,2,Carpet Area,Chennai,Unfurnished
2022-05-06,15000,3,2,1300,2,Super Area,Chennai,Semi-Furnished
2022-06-05,12000,3,2,1062,2,Super Area,Chennai,Semi-Furnished
2022-04-30,35000,3,3,1850,2,Carpet Area,Chennai,Semi-Furnished
2022-05-25,20000,3,3,1065,4,Super Area,Chennai,Semi-Furnished
2022-06-10,14000,3,2,1155,15,Super Area,Chennai,Unfurnished
2022-06-11,25000,3,3,1700,7,Super Area,Chennai,Semi-Furnished
2022-07-10,25000,3,3,1200,9,Carpet Area,Chennai,Semi-Furnished
2022-07-10,15000,3,3,1157,4,Super Area,Chennai,Unfurnished
2022-07-02,18000,3,2,1000,7,Carpet Area,Chennai,Unfurnished
2022-05-05,14500,3,2,1107,4,Carpet Area,Chennai,Semi-Furnished
2022-07-10,40000,3,3,1400,3,Carpet Area,Chennai,Semi-Furnished
2022-05-03,17000,3,2,800,2,Carpet Area,Chennai,Unfurnished
2022-07-06,25000,3,2,1415,4,Super Area,Chennai,Furnished
2022-05-22,17500,3,2,950,4,Carpet Area,Chennai,Semi-Furnished
2022-05-20,27000,3,3,1500,3,Carpet Area,Chennai,Semi-Furnished
2022-07-08,45000,3,3,1700,3,Carpet Area,Chennai,Semi-Furnished
2022-07-10,34999,3,3,1400,2,Carpet Area,Chennai,Semi-Furnished
2022-05-05,26000,3,2,1125,2,Super Area,Chennai,Semi-Furnished
2022-05-17,40000,3,3,1250,2,Carpet Area,Chennai,Semi-Furnished
2022-07-06,26000,3,3,1400,11,Super Area,Chennai,Semi-Furnished
2022-07-02,22000,3,3,1100,4,Carpet Area,Chennai,Semi-Furnished
2022-07-07,20000,3,3,1500,19,Super Area,Chennai,Unfurnished
2022-06-25,17000,3,2,1250,2,Super Area,Chennai,Semi-Furnished
2022-06-14,40000,3,3,1700,3,Super Area,Chennai,Furnished
2022-06-16,25000,3,3,1290,4,Super Area,Chennai,Unfurnished
2022-07-10,15000,3,2,1200,2,Carpet Area,Chennai,Unfurnished
2022-05-19,36000,3,3,1610,3,Super Area,Chennai,Semi-Furnished
2022-05-19,34000,3,3,1125,8,Carpet Area,Chennai,Semi-Furnished
2022-07-08,32000,3,3,1700,2,Super Area,Chennai,Semi-Furnished
2022-05-19,35000,3,3,1152,10,Carpet Area,Chennai,Semi-Furnished
2022-05-19,37000,3,3,1650,2,Super Area,Chennai,Semi-Furnished
2022-05-19,35000,3,3,1903,6,Super Area,Chennai,Semi-Furnished
2022-05-19,32000,3,3,1050,4,Carpet Area,Chennai,Semi-Furnished
2022-05-19,33000,3,3,1075,7,Carpet Area,Chennai,Semi-Furnished
2022-05-27,12000,3,3,1383,2,Super Area,Chennai,Semi-Furnished
2022-05-06,40000,3,3,1600,11,Carpet Area,Chennai,Unfurnished
2022-05-24,12000,3,2,1060,3,Super Area,Chennai,Semi-Furnished
2022-06-10,27000,3,3,1500,2,Carpet Area,Chennai,Unfurnished
2022-05-25,27500,3,3,1570,4,Super Area,Chennai,Semi-Furnished
2022-07-10,28000,3,3,1050,5,Carpet Area,Chennai,Semi-Furnished
2022-07-01,50000,3,3,1625,8,Super Area,Chennai,Furnished
2022-06-21,48000,3,3,1798,7,Super Area,Hyderabad,Semi-Furnished
2022-05-14,18000,3,3,1500,4,Super Area,Hyderabad,Semi-Furnished
2022-05-12,20000,3,3,1200,2,Super Area,Hyderabad,Semi-Furnished
2022-06-03,14000,3,2,1350,3,Carpet Area,Hyderabad,Semi-Furnished
2022-05-28,35000,3,3,1650,5,Carpet Area,Hyderabad,Semi-Furnished
2022-07-03,25000,3,2,919,8,Carpet Area,Hyderabad,Semi-Furnished
2022-04-30,25000,4,3,1000,15,Super Area,Hyderabad,Semi-Furnished
2022-07-01,12500,3,2,1250,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,45000,3,3,1900,9,Carpet Area,Hyderabad,Unfurnished
2022-07-06,24000,3,2,1700,4,Super Area,Hyderabad,Unfurnished
2022-06-05,24000,3,3,1600,3,Carpet Area,Hyderabad,Semi-Furnished
2022-06-26,27000,3,3,2210,4,Super Area,Hyderabad,Semi-Furnished
2022-05-06,30000,3,3,1450,9,Carpet Area,Hyderabad,Semi-Furnished
2022-05-29,20000,3,3,1400,3,Super Area,Hyderabad,Semi-Furnished
2022-06-10,25000,4,3,1815,2,Super Area,Hyderabad,Semi-Furnished
2022-06-02,28000,3,3,1500,3,Super Area,Hyderabad,Semi-Furnished
2022-06-28,14000,3,3,1350,2,Super Area,Hyderabad,Semi-Furnished
2022-05-23,45000,5,3,2300,3,Carpet Area,Hyderabad,Unfurnished
2022-07-10,35000,3,3,1600,8,Carpet Area,Hyderabad,Semi-Furnished
2022-07-10,45000,3,3,2200,3,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,50000,3,3,2290,4,Super Area,Hyderabad,Semi-Furnished
2022-07-10,40000,3,3,1900,4,Carpet Area,Hyderabad,Semi-Furnished
2022-07-10,30000,3,3,1600,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,25000,3,3,1600,2,Super Area,Hyderabad,Furnished
2022-05-16,16000,3,3,1500,2,Carpet Area,Hyderabad,Furnished
2022-07-10,12000,3,3,1250,2,Carpet Area,Hyderabad,Semi-Furnished
2022-05-25,40000,3,2,1473,23,Super Area,Hyderabad,Furnished
2022-07-06,27000,4,5,2520,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-07,18000,3,3,1950,2,Super Area,Hyderabad,Semi-Furnished
2022-06-10,49000,3,3,1800,19,Super Area,Hyderabad,Unfurnished
2022-07-06,35000,3,3,1725,2,Super Area,Hyderabad,Furnished
2022-07-06,38000,3,2,1496,10,Carpet Area,Hyderabad,Semi-Furnished
2022-06-14,15000,3,3,1600,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-08,27000,3,3,1850,5,Super Area,Hyderabad,Semi-Furnished
2022-06-14,25000,3,3,1800,4,Super Area,Hyderabad,Furnished
2022-07-09,15000,3,3,1450,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-04,26000,3,3,1800,2,Carpet Area,Hyderabad,Semi-Furnished
2022-05-29,45000,4,4,3000,3,Super Area,Hyderabad,Semi-Furnished
2022-07-08,35000,3,3,1000,3,Carpet Area,Hyderabad,Semi-Furnished
2022-06-04,35000,3,2,1250,4,Carpet Area,Hyderabad,Unfurnished
2022-05-22,30000,3,3,1700,3,Carpet Area,Hyderabad,Furnished
2022-07-05,22000,3,2,3000,3,Carpet Area,Hyderabad,Furnished
2022-05-06,14000,3,2,1540,2,Super Area,Hyderabad,Unfurnished
2022-05-25,27000,3,3,2200,3,Super Area,Hyderabad,Semi-Furnished
2022-07-06,18000,3,3,1400,2,Super Area,Hyderabad,Unfurnished
2022-05-06,20000,3,3,1950,5,Super Area,Hyderabad,Semi-Furnished
2022-06-09,35000,3,3,1675,5,Super Area,Hyderabad,Unfurnished
2022-05-12,20000,3,2,1800,3,Super Area,Hyderabad,Unfurnished
2022-05-29,20000,3,3,1800,7,Carpet Area,Hyderabad,Semi-Furnished
2022-05-09,22000,3,3,1800,2,Super Area,Hyderabad,Semi-Furnished
2022-05-28,16500,3,3,1771,2,Super Area,Hyderabad,Unfurnished
2022-06-08,15000,3,2,1500,2,Carpet Area,Hyderabad,Unfurnished
2022-07-10,50000,3,3,2300,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-25,22000,3,3,1500,4,Super Area,Hyderabad,Unfurnished
2022-07-10,14000,3,2,1360,3,Super Area,Hyderabad,Furnished
2022-07-06,45000,3,3,1900,4,Carpet Area,Hyderabad,Semi-Furnished
2022-05-06,20000,3,3,1400,3,Super Area,Hyderabad,Semi-Furnished
2022-05-06,18000,3,3,1600,2,Super Area,Hyderabad,Furnished
2022-04-30,28000,3,3,1720,4,Super Area,Hyderabad,Semi-Furnished
2022-05-06,31000,4,4,2400,2,Super Area,Hyderabad,Semi-Furnished
2022-05-06,15000,3,3,1500,3,Super Area,Hyderabad,Unfurnished
2022-06-30,15000,3,2,1550,5,Carpet Area,Hyderabad,Unfurnished
2022-05-12,20000,3,3,1000,2,Super Area,Hyderabad,Unfurnished
2022-04-30,20000,3,3,1400,4,Super Area,Hyderabad,Semi-Furnished
2022-06-10,14000,3,3,1300,2,Carpet Area,Hyderabad,Unfurnished
2022-05-06,30000,3,3,1730,7,Super Area,Hyderabad,Semi-Furnished
2022-05-31,16500,3,3,1500,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-29,24000,3,3,1600,4,Carpet Area,Hyderabad,Semi-Furnished
2022-06-29,32000,3,3,1300,2,Carpet Area,Hyderabad,Semi-Furnished
2022-05-12,12000,3,3,1200,3,Super Area,Hyderabad,Semi-Furnished
2022-06-17,25000,3,3,2210,4,Super Area,Hyderabad,Semi-Furnished
2022-06-11,26000,3,2,1450,4,Super Area,Hyderabad,Semi-Furnished
2022-05-12,15000,3,3,192,2,Super Area,Hyderabad,Semi-Furnished
2022-07-06,42000,3,3,1600,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,40000,3,3,1900,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,45000,3,3,2600,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-24,26000,3,2,1550,4,Carpet Area,Hyderabad,Unfurnished
2022-06-13,28000,3,2,1600,5,Carpet Area,Hyderabad,Semi-Furnished
2022-06-22,25000,3,3,1970,5,Super Area,Hyderabad,Semi-Furnished
