Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,City,Furnishing Status
2022-06-22,5000,1,1,500,0,Super Area,Kolkata,Semi-Furnished
2022-05-05,5000,2,1,600,0,Super Area,Kolkata,Unfurnished
2022-06-01,5000,2,1,420,0,Carpet Area,Kolkata,Unfurnished
2022-06-29,3200,1,1,220,3,Super Area,Kolkata,Unfurnished
2022-06-08,3000,1,1,350,0,Super Area,Kolkata,Unfurnished
2022-06-14,3800,1,1,500,1,Carpet Area,Kolkata,Unfurnished
2022-05-05,5000,1,1,150,1,Carpet Area,Kolkata,Unfurnished
2022-06-17,5000,1,1,420,3,Super Area,Kolkata,Unfurnished
2022-06-07,5000,1,1,350,1,Carpet Area,Kolkata,Unfurnished
2022-05-10,5000,1,1,322,1,Carpet Area,Kolkata,Unfurnished
2022-05-09,5000,1,1,350,0,Carpet Area,Kolkata,Semi-Furnished
2022-06-07,5000,1,1,450,1,Carpet Area,Kolkata,Unfurnished
2022-05-13,5000,1,1,300,0,Carpet Area,Kolkata,Unfurnished
2022-05-22,5000,2,1,550,1,Carpet Area,Kolkata,Unfurnished
2022-05-31,4500,2,1,475,0,Super Area,Kolkata,Unfurnished
2022-06-23,5000,1,1,400,0,Carpet Area,Kolkata,Semi-Furnished
2022-05-25,5000,1,1,450,2,Super Area,Kolkata,Unfurnished
2022-05-26,5000,1,1,400,3,Carpet Area,Kolkata,Unfurnished
2022-07-03,5000,1,1,450,1,Carpet Area,Kolkata,Unfurnished
2022-06-20,4000,1,1,350,1,Super Area,Kolkata,Unfurnished
2022-05-12,1800,1,1,500,0,Super Area,Kolkata,Semi-Furnished
2022-05-08,5000,1,1,300,1,Super Area,Kolkata,Unfurnished
2022-06-14,3700,1,1,150,1,Carpet Area,Kolkata,Unfurnished
2022-06-20,2200,1,1,700,1,Super Area,Kolkata,Unfurnished
2022-04-28,3300,1,1,175,0,Super Area,Kolkata,Unfurnished
2022-05-12,5000,1,1,450,0,Super Area,Kolkata,Semi-Furnished
2022-05-28,5000,1,1,400,4,Carpet Area,Kolkata,Unfurnished
2022-06-19,5000,1,1,250,0,Carpet Area,Kolkata,Unfurnished
2022-05-31,4500,1,1,475,3,Super Area,Mumbai,Unfurnished
2022-06-20,4500,1,1,450,0,Super Area,Bangalore,Semi-Furnished
2022-05-23,4000,1,1,650,1,Super Area,Bangalore,Unfurnished
2022-05-27,4500,1,1,600,1,Super Area,Bangalore,Unfurnished
2022-06-12,5000,1,1,500,2,Super Area,Bangalore,Semi-Furnished
2022-05-23,5000,1,1,500,1,Super Area,Bangalore,Semi-Furnished
2022-06-04,4500,1,1,600,0,Super Area,Bangalore,Unfurnished
2022-06-04,5000,1,1,350,2,Carpet Area,Bangalore,Unfurnished
2022-05-19,3500,1,1,150,2,Super Area,Bangalore,Unfurnished
2022-05-10,5000,1,1,600,1,Super Area,Bangalore,Semi-Furnished
2022-05-14,5000,1,1,500,0,Super Area,Bangalore,Unfurnished
2022-05-23,5000,1,1,144,0,Super Area,Bangalore,Semi-Furnished
2022-07-04,5000,1,1,500,1,Super Area,Bangalore,Unfurnished
2022-05-19,5000,1,1,500,0,Super Area,Bangalore,Furnished
2022-05-14,5000,1,1,400,1,Super Area,Bangalore,Unfurnished
2022-06-04,5000,1,1,500,1,Super Area,Bangalore,Unfurnished
2022-05-19,4300,1,1,300,2,Super Area,Bangalore,Unfurnished
2022-05-07,4800,1,1,580,0,Super Area,Bangalore,Semi-Furnished
2022-06-04,4000,1,1,250,2,Super Area,Bangalore,Unfurnished
2022-05-10,5000,1,1,500,2,Super Area,Bangalore,Semi-Furnished
2022-06-20,5000,1,1,150,2,Super Area,Bangalore,Unfurnished
2022-05-05,4700,1,1,500,1,Super Area,Bangalore,Unfurnished
2022-04-27,4750,1,1,200,2,Carpet Area,Bangalore,Semi-Furnished
2022-05-23,4000,1,1,250,0,Super Area,Bangalore,Unfurnished
2022-05-23,5000,1,1,400,1,Super Area,Bangalore,Unfurnished
2022-05-31,5000,2,2,625,1,Carpet Area,Bangalore,Semi-Furnished
2022-05-27,4000,1,2,100,2,Super Area,Bangalore,Semi-Furnished
2022-07-07,4500,1,1,300,3,Super Area,Bangalore,Semi-Furnished
2022-06-20,4500,1,1,200,4,Super Area,Bangalore,Unfurnished
2022-05-23,5000,1,1,300,0,Super Area,Bangalore,Unfurnished
2022-05-14,3500,1,1,180,0,Super Area,Delhi,Unfurnished
2022-06-04,4500,1,1,240,1,Super Area,Delhi,Unfurnished
2022-05-18,5000,1,1,25,2,Carpet Area,Delhi,Unfurnished
2022-06-04,5000,1,1,180,0,Super Area,Delhi,Semi-Furnished
2022-06-22,2000,2,1,60,1,Super Area,Delhi,Unfurnished
2022-06-29,5000,2,1,500,1,Super Area,Delhi,Unfurnished
2022-05-10,4000,1,1,125,1,Super Area,Delhi,Unfurnished
2022-04-29,4500,1,1,400,1,Super Area,Delhi,Unfurnished
2022-04-29,5000,1,1,450,0,Super Area,Delhi,Unfurnished
2022-05-10,5000,1,1,500,0,Super Area,Delhi,Semi-Furnished
2022-04-29,4000,1,1,120,1,Super Area,Delhi,Unfurnished
2022-04-29,5000,1,1,450,1,Super Area,Delhi,Unfurnished
2022-05-14,3500,1,1,350,1,Super Area,Delhi,Unfurnished
2022-06-19,4000,1,2,90,0,Super Area,Delhi,Unfurnished
2022-06-04,3500,1,1,25,3,Super Area,Delhi,Unfurnished
2022-07-04,5000,1,1,300,0,Carpet Area,Delhi,Semi-Furnished
2022-05-04,5000,2,1,550,3,Carpet Area,Delhi,Unfurnished
2022-06-16,5000,1,1,300,1,Carpet Area,Delhi,Furnished
2022-05-25,4500,1,1,150,0,Super Area,Chennai,Semi-Furnished
2022-05-24,5000,1,1,550,1,Super Area,Chennai,Unfurnished
2022-05-12,3000,1,1,350,1,Super Area,Chennai,Unfurnished
2022-05-25,5000,1,1,250,0,Super Area,Chennai,Unfurnished
2022-06-18,5000,1,1,350,0,Super Area,Chennai,Unfurnished
2022-06-01,3500,1,1,600,0,Super Area,Chennai,Unfurnished
2022-05-20,4500,1,1,115,0,Super Area,Chennai,Unfurnished
2022-05-16,5000,1,1,800,1,Carpet Area,Chennai,Unfurnished
2022-06-22,4500,1,1,600,0,Super Area,Chennai,Unfurnished
2022-04-30,5000,1,1,800,1,Super Area,Chennai,Unfurnished
2022-06-10,4200,1,1,490,3,Super Area,Chennai,Semi-Furnished
2022-06-14,3000,1,1,350,0,Super Area,Chennai,Unfurnished
2022-05-20,5000,2,2,800,0,Super Area,Chennai,Unfurnished
2022-06-10,5000,1,1,800,1,Carpet Area,Chennai,Unfurnished
2022-07-06,5000,1,1,550,0,Super Area,Chennai,Unfurnished
2022-06-10,3500,1,1,500,1,Super Area,Chennai,Semi-Furnished
2022-06-29,5000,1,1,550,1,Carpet Area,Chennai,Unfurnished
2022-06-22,4000,1,1,400,2,Super Area,Chennai,Unfurnished
2022-06-10,5000,1,1,450,0,Super Area,Chennai,Unfurnished
2022-07-06,4000,1,1,300,1,Super Area,Chennai,Unfurnished
2022-07-09,3500,1,1,300,0,Super Area,Chennai,Unfurnished
2022-05-06,5000,1,1,550,1,Carpet Area,Chennai,Unfurnished
2022-05-25,5000,1,1,200,0,Super Area,Chennai,Semi-Furnished
2022-05-30,5000,1,1,450,2,Carpet Area,Chennai,Unfurnished
2022-05-16,5000,1,1,400,0,Super Area,Chennai,Unfurnished
2022-05-20,5000,1,1,140,2,Super Area,Hyderabad,Unfurnished
2022-04-30,4000,1,1,300,3,Super Area,Hyderabad,Unfurnished
2022-06-25,4000,1,1,400,0,Super Area,Hyderabad,Unfurnished
2022-05-16,4500,1,1,60,1,Super Area,Hyderabad,Semi-Furnished
2022-05-31,1200,3,3,2100,1,Carpet Area,Hyderabad,Furnished
2022-06-24,4700,1,2,850,3,Super Area,Hyderabad,Unfurnished
2022-07-06,3000,1,1,80,0,Super Area,Hyderabad,Semi-Furnished
2022-05-12,3300,1,1,200,0,Super Area,Hyderabad,Unfurnished
2022-06-18,5000,2,1,600,0,Super Area,Hyderabad,Unfurnished
2022-06-06,3000,1,1,100,1,Super Area,Hyderabad,Semi-Furnished
2022-05-12,5000,1,1,350,2,Super Area,Hyderabad,Unfurnished
2022-05-12,5000,1,1,500,2,Super Area,Hyderabad,Unfurnished
2022-05-12,5000,2,2,650,2,Super Area,Hyderabad,Unfurnished
2022-06-14,4000,1,1,500,2,Super Area,Hyderabad,Unfurnished
2022-06-09,5000,1,1,540,2,Super Area,Hyderabad,Semi-Furnished
2022-07-06,5000,1,1,300,0,Super Area,Hyderabad,Unfurnished
2022-07-06,5000,1,1,450,1,Super Area,Hyderabad,Unfurnished
2022-04-30,4500,1,1,50,4,Super Area,Hyderabad,Unfurnished
2022-06-28,5000,1,1,500,0,Carpet Area,Hyderabad,Furnished
